sample.id,parent,phenotype,individual,lineage,block
LB11D_SRR14654185,D,responsive,LB11-R1,A,LB11xW4
LB11D_SRR14654181,D,responsive,LB11-R2,A,LB11xW4
LB11D_SRR14654179,D,responsive,LB11-R3,A,LB11xW4
LB11D_SRR14654184,D,unresponsive,LB11-U1,A,LB11xW4
LB11D_SRR14654180,D,unresponsive,LB11-U2,A,LB11xW4
LB11D_SRR14654178,D,unresponsive,LB11-U3,A,LB11xW4
W4D_SRR14654177,D,responsive,W4-R1,B,LB11xW4
W4D_SRR14654175,D,responsive,W4-R2,B,LB11xW4
W4D_SRR14654183,D,responsive,W4-R3,B,LB11xW4
W4D_SRR14654176,D,unresponsive,W4-U1,B,LB11xW4
W4D_SRR14654174,D,unresponsive,W4-U2,B,LB11xW4
W4D_SRR14654182,D,unresponsive,W4-U3,B,LB11xW4
Y12D_SRR24049740,D,responsive,Y12-R1,A,Y12xO20
Y12D_SRR24049739,D,responsive,Y12-R2,A,Y12xO20
Y12D_SRR24049738,D,responsive,Y12-R3,A,Y12xO20
Y12D_SRR24049737,D,unresponsive,Y12-U1,A,Y12xO20
Y12D_SRR24049735,D,unresponsive,Y12-U2,A,Y12xO20
Y12D_SRR24049734,D,unresponsive,Y12-U3,A,Y12xO20
O20D_SRR24049753,D,responsive,O20-R1,B,Y12xO20
O20D_SRR24049752,D,responsive,O20-R2,B,Y12xO20
O20D_SRR24049751,D,responsive,O20-R3,B,Y12xO20
O20D_SRR24049750,D,unresponsive,O20-U1,B,Y12xO20
O20D_SRR24049749,D,unresponsive,O20-U2,B,Y12xO20
O20D_SRR24049748,D,unresponsive,O20-U3,B,Y12xO20
B4D_SRR24049729,D,responsive,B4-R1,A,B4xW36
B4D_SRR24049728,D,responsive,B4-R2,A,B4xW36
B4D_SRR24049757,D,responsive,B4-R3,A,B4xW36
B4D_SRR24049756,D,unresponsive,B4-U1,A,B4xW36
B4D_SRR24049755,D,unresponsive,B4-U2,A,B4xW36
B4D_SRR24049754,D,unresponsive,B4-U3,A,B4xW36
W36D_SRR24049746,D,responsive,W36-R1,B,B4xW36
W36D_SRR24049745,D,responsive,W36-R2,B,B4xW36
W36D_SRR24049744,D,responsive,W36-R3,B,B4xW36
W36D_SRR24049743,D,unresponsive,W36-U1,B,B4xW36
W36D_SRR24049742,D,unresponsive,W36-U2,B,B4xW36
W36D_SRR24049741,D,unresponsive,W36-U3,B,B4xW36
LB11Q_SRR14654185,Q,responsive,LB11-R1,A,LB11xW4
LB11Q_SRR14654181,Q,responsive,LB11-R2,A,LB11xW4
LB11Q_SRR14654179,Q,responsive,LB11-R3,A,LB11xW4
LB11Q_SRR14654184,Q,unresponsive,LB11-U1,A,LB11xW4
LB11Q_SRR14654180,Q,unresponsive,LB11-U2,A,LB11xW4
LB11Q_SRR14654178,Q,unresponsive,LB11-U3,A,LB11xW4
W4Q_SRR14654177,Q,responsive,W4-R1,B,LB11xW4
W4Q_SRR14654175,Q,responsive,W4-R2,B,LB11xW4
W4Q_SRR14654183,Q,responsive,W4-R3,B,LB11xW4
W4Q_SRR14654176,Q,unresponsive,W4-U1,B,LB11xW4
W4Q_SRR14654174,Q,unresponsive,W4-U2,B,LB11xW4
W4Q_SRR14654182,Q,unresponsive,W4-U3,B,LB11xW4
Y12Q_SRR24049740,Q,responsive,Y12-R1,A,Y12xO20
Y12Q_SRR24049739,Q,responsive,Y12-R2,A,Y12xO20
Y12Q_SRR24049738,Q,responsive,Y12-R3,A,Y12xO20
Y12Q_SRR24049737,Q,unresponsive,Y12-U1,A,Y12xO20
Y12Q_SRR24049735,Q,unresponsive,Y12-U2,A,Y12xO20
Y12Q_SRR24049734,Q,unresponsive,Y12-U3,A,Y12xO20
O20Q_SRR24049753,Q,responsive,O20-R1,B,Y12xO20
O20Q_SRR24049752,Q,responsive,O20-R2,B,Y12xO20
O20Q_SRR24049751,Q,responsive,O20-R3,B,Y12xO20
O20Q_SRR24049750,Q,unresponsive,O20-U1,B,Y12xO20
O20Q_SRR24049749,Q,unresponsive,O20-U2,B,Y12xO20
O20Q_SRR24049748,Q,unresponsive,O20-U3,B,Y12xO20
B4Q_SRR24049729,Q,responsive,B4-R1,A,B4xW36
B4Q_SRR24049728,Q,responsive,B4-R2,A,B4xW36
B4Q_SRR24049757,Q,responsive,B4-R3,A,B4xW36
B4Q_SRR24049756,Q,unresponsive,B4-U1,A,B4xW36
B4Q_SRR24049755,Q,unresponsive,B4-U2,A,B4xW36
B4Q_SRR24049754,Q,unresponsive,B4-U3,A,B4xW36
W36Q_SRR24049746,Q,responsive,W36-R1,B,B4xW36
W36Q_SRR24049745,Q,responsive,W36-R2,B,B4xW36
W36Q_SRR24049744,Q,responsive,W36-R3,B,B4xW36
W36Q_SRR24049743,Q,unresponsive,W36-U1,B,B4xW36
W36Q_SRR24049742,Q,unresponsive,W36-U2,B,B4xW36
W36Q_SRR24049741,Q,unresponsive,W36-U3,B,B4xW36
